Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank
2016/03/15:14:54:50 1420075284 6999 1150 1391 359778
2016/03/15:17:37:56 1420075284 6999 1150 1391 362596
2016/03/15:18:55:53 1420075284 6999 1150 1391 362710
2016/03/15:20:20:00 1420075284 6999 1150 1391 361439
2016/03/15:20:54:23 1420075284 6999 1150 1391 361662
2016/03/15:22:49:45 1420075284 6999 1150 1391 367366
2016/03/16:00:40:44 1420075284 6999 1150 1391 372825
2016/03/16:08:18:24 1420075284 6999 1150 1391 380728
2016/03/16:21:45:01 1420075284 6999 1150 1391 380652
2016/03/16:23:36:03 1420075284 6999 1150 1391 387387
2016/03/17:07:38:00 1420075284 6999 1150 1391 392158
2016/03/17:09:04:36 1420075284 6999 1150 1391 392158
2016/03/17:13:54:08 1420075284 6999 1200 1391 394066
2016/03/17:14:44:22 1420075284 6999 1200 1391 392585
2016/03/17:16:10:03 1420075284 6999 1200 1391 392818
2016/03/17:17:28:29 1420075284 6999 1200 1391 393031
2016/03/17:18:30:48 1420075284 6999 1200 1391 394663
2016/03/17:22:34:38 1420075284 6999 1200 1391 397088
2016/03/18:07:49:20 1420075284 6999 1200 1391 408853
2016/03/18:09:01:24 1420075284 6999 1200 1391 408114
2016/03/18:13:53:10 1420075284 6999 1200 1391 408508
2016/03/19:00:45:45 1420075284 6999 1200 1391 416301
2016/03/19:10:49:40 1420075284 6999 1200 1391 44260
2016/03/19:13:16:22 1420075284 6999 1200 1391 47499
2016/03/19:21:09:48 1420075284 6999 1200 1391 82199
2016/03/19:23:47:34 1420075284 6999 1200 1391 98854
2016/03/20:08:19:50 1420075284 6999 1200 1391 128006
2016/03/20:10:00:25 1420075284 6999 1200 1391 131567
2016/03/20:12:21:24 1420075284 6999 1200 1391 21832
2016/03/20:13:50:47 1420075284 6999 1200 1391 23939
2016/03/20:14:48:08 1420075284 6999 1200 1391 23939
2016/03/20:18:11:13 1420075284 6999 1200 1391 36168
2016/03/20:20:10:19 1420075284 6999 1200 1391 47167
2016/03/20:21:58:52 1420075284 6999 1200 1391 47269
2016/03/21:08:20:26 1420075284 6999 1200 1391 107368
2016/03/21:09:30:19 1420075284 6999 1200 1391 107368
2016/03/21:10:21:13 1420075284 6999 1200 1391 107368
2016/03/21:18:06:20 1420075284 6999 1200 1391 121266
2016/03/21:19:26:22 1420075284 6999 1200 1391 121306
2016/03/21:23:13:20 1420075284 6999 1200 1391 133443
2016/03/22:10:19:26 1420075284 6999 1200 1391 169865
2016/03/22:11:10:12 1420075284 6999 1200 1391 170313
2016/03/23:08:08:21 1420075284 6999 1200 1391 212324
2016/03/23:09:35:27 1420075284 6999 1200 1391 212841
2016/03/23:13:19:46 1420075284 6999 1200 1391 219819
2016/03/23:17:59:56 1420075284 6999 1200 1391 224110
2016/03/23:19:10:40 1420075284 6999 1200 1391 229617
2016/03/23:20:19:28 1420075284 6999 1200 1391 229728
2016/03/23:21:32:07 1420075284 6999 1200 1391 229728
2016/03/23:22:20:48 1420075284 6999 1200 1391 238480
2016/03/23:23:17:39 1420075284 6999 1200 1391 246971
2016/03/24:08:04:52 1420075284 6999 1200 1391 267157
2016/03/24:10:13:10 1420075284 6999 1200 1391 269252
2016/03/24:11:17:47 1420075284 6999 1200 1391 269252
2016/03/24:12:28:15 1420075284 6999 1200 1391 270505
2016/03/24:14:12:49 1420075284 6999 1200 1391 270672
2016/03/24:15:23:05 1420075284 6999 1200 1391 274166
2016/03/24:17:07:47 1420075284 6999 1200 1391 279008
