Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank
2016/03/05:11:54:33 0465060714 1363 882 986 134045
2016/03/05:12:18:48 0465060714 1363 882 986 134045
2016/03/05:12:39:07 0465060714 1363 882 986 134045
2016/03/05:12:54:56 0465060714 1363 882 986 134045
2016/03/05:17:40:48 0465060714 1363 882 986 132727
2016/03/05:19:30:14 0465060714 1363 882 986 132772
2016/03/05:20:19:15 0465060714 1363 882 986 13683
2016/03/05:21:49:49 0465060714 1363 882 986 18896
2016/03/05:23:10:39 0465060714 1363 882 986 18896
2016/03/06:03:50:58 0465060714 1363 882 986 28518
2016/03/06:08:37:39 0465060714 1363 882 986 37362
2016/03/06:09:41:29 0465060714 1363 882 986 41945
2016/03/06:10:33:55 0465060714 1363 882 986 41946
2016/03/06:11:29:10 0465060714 1363 882 986 41408
2016/03/06:14:30:01 0465060714 1363 882 986 42918
2016/03/06:14:45:01 0465060714 1363 882 986 42918
2016/03/06:15:52:38 0465060714 1363 882 986 44961
2016/03/06:16:35:47 0465060714 1363 882 986 44961
2016/03/06:17:50:11 0465060714 1363 882 986 52523
2016/03/06:20:47:28 0465060714 1363 882 986 52387
2016/03/06:22:32:37 0465060714 1363 882 986 19512
2016/03/06:22:56:28 0465060714 1363 882 986 19512
2016/03/06:23:08:10 0465060714 1363 882 986 19512
2016/03/07:07:37:25 0465060714 1363 882 986 22525
2016/03/07:09:28:04 0465060714 1363 882 986 22525
2016/03/07:10:52:15 0465060714 1363 882 986 22699
2016/03/07:11:30:41 0465060714 1363 882 986 22699
2016/03/07:12:34:53 0465060714 1363 882 986 24835
2016/03/07:14:00:45 0465060714 1363 882 986 27835
2016/03/07:15:29:59 0465060714 1363 882 986 35543
2016/03/07:16:19:34 0465060714 1363 882 986 35543
2016/03/07:16:57:02 0465060714 1363 882 986 35546
2016/03/07:19:09:33 0465060714 1363 882 986 33763
2016/03/07:22:41:24 0465060714 1363 890 1072 22174
2016/03/07:23:48:29 0465060714 1363 890 1072 22175
2016/03/08:07:42:44 0465060714 1363 890 1072 21113
2016/03/08:09:05:23 0465060714 1363 890 1072 21304
2016/03/08:11:55:46 0465060714 1363 890 1072 14292
2016/03/08:13:12:55 0465060714 1363 890 1072 14292
2016/03/08:14:40:25 0465060714 1363 890 1072 15656
2016/03/08:17:15:40 0465060714 1363 890 1072 18780
2016/03/08:19:42:49 0465060714 1363 890 1072 18780
2016/03/09:07:47:08 0465060714 1363 882 989 25373
2016/03/09:09:57:30 0465060714 1363 882 989 25373
2016/03/09:10:53:08 0465060714 1363 882 989 27077
2016/03/09:15:02:54 0465060714 1363 882 989 31833
2016/03/09:15:53:55 0465060714 1363 882 989 31833
2016/03/09:18:42:04 0465060714 1363 882 989 37565
2016/03/09:19:59:38 0465060714 1363 882 989 37567
