Number ISBN FoundCost AmUsed AmNew AmRetail AmRank 
1 9781840914863 300.0 1 49 0 649497 
2 9781843980759 250.0 561 2390 3615 311193 
3 9781897597897 250.0 2 4499 4499 4713220 
4 9780273639305 400.0 1 799 0 237496 
5 9781905636273 250.0 1 1499 0 286178 
6 9780952275466 250.0 63 498 1299 5194371 
7 9781909116344 250.0 805 784 1499 653481 
8 9781857885354 250.0 588 550 1049 1242 
9 9780671528003 350.0 1 1280 1913 339026 
10 9781422126127 300.0 140 1588 0 272161 
11 9781906316396 250.0 1 1000 0 1706334 
12 1592802974 400.0 1597 5265 0 282516 
13 9780415309752 250.0 699 1674 4179 293726 
14 9780749234119 250.0 1 2899 0 83969 
15 9780716715894 300.0 73 1850 0 1688487 
16 9780192629500 300.0 40 4954 0 1288064 
17 9780683302479 500.0 348 6185 0 587419 
18 9780582016224 200.0 1 28399 0 3659777 
19 9780471629788 250.0 990 2025 21999 1985705 
20 9780262240512 1000.0 950 1099 1895 1171953 
21 9780435327170 300.0 1 1624 1925 381146 
22 9780415146210 2000.0 1 4735 0 472600 
23 9781857759822 300.0 1 395 0 2467156 
24 9781403987877 300.0 1 1400 0 760325 
25 9780333751893 250.0 1 1150 0 593081 
26 9780205199938 400.0 315 5345 0 4546129 
27 9780534346805 300.0 1 2757 0 257491 
28 9781405103459 300.0 556 3754 4373 357551 
29 9780155436893 300.0 1 10291 0 1734894 
30 9780130432513 250.0 1 1500 0 838048 
31 9780521467865 250.0 227 2799 4799 244405 
32 9780230227132 500.0 466 1791 2374 130647 
33 9780761971184 250.0 1 6705 0 425597 
34 9780335098828 300.0 1 2190 2599 1826192 
35 9780803978430 400.0 1500 7590 0 1670266 
36 9780230227149 1000.0 445 1837 2399 122578 
37 9780415214032 300.0 1 2421 0 1321101 
38 9780748729371 200.0 1 1999 1999 2621651 
39 9780826471703 200.0 1 600 0 1129993 
40 9780826456786 200.0 1 499 1699 2139447 
41 9781844452781 300.0 1 1800 0 460849 
42 9781844452743 300.0 1 495 0 551356 
43 9781853962462 300.0 1 1899 0 1760893 
44 9780415162807 900.0 1 1475 0 1830851 
45 9781903300572 300.0 1 299 0 882002 
46 9781844452798 300.0 1 799 0 644582 
47 9781903300589 300.0 1 290 0 979975 
48 9780415266413 900.0 445 2195 2999 471186 
49 9781844450350 300.0 1 1277 1570 611719 
50 9781903300596 300.0 1 700 0 1296443 
51 9780333558614 300.0 699 1199 0 6753357 
52 9781860724008 300.0 1 3876 4500 3993916 
53 9780814783085 700.0 1887 1892 1899 8452572 
54 9780743235471 300.0 578 652 999 622372 
55 9780335206124 300.0 1 2999 0 340932 
56 9780333651124 300.0 1 1499 0 248890 
