Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank
2016/03/05:11:54:53 0471304603 0 4939 1274 278007
2016/03/05:12:19:08 0471304603 0 4939 1274 278007
2016/03/05:12:39:26 0471304603 0 4939 1274 278007
2016/03/05:12:55:16 0471304603 0 4939 1274 279782
2016/03/05:17:41:06 0471304603 0 4939 1274 286499
2016/03/05:19:30:33 0471304603 0 4939 1274 286543
2016/03/05:20:19:34 0471304603 0 4939 1274 292520
2016/03/05:21:50:08 0471304603 0 4939 1274 300377
2016/03/05:23:10:58 0471304603 0 4939 1274 300377
2016/03/06:03:51:17 0471304603 0 4939 1274 314600
2016/03/06:08:37:58 0471304603 0 4939 1274 325364
2016/03/06:09:41:48 0471304603 0 4939 1274 329476
2016/03/06:10:34:14 0471304603 0 4939 1274 329854
2016/03/06:11:29:29 0471304603 0 4939 1274 331451
2016/03/06:14:30:20 0471304603 0 4939 1274 333792
2016/03/06:14:45:20 0471304603 0 4939 1274 333792
2016/03/06:15:52:57 0471304603 0 4939 1274 333969
2016/03/06:16:36:05 0471304603 0 4939 1274 336403
2016/03/06:17:50:30 0471304603 0 4939 1274 341330
2016/03/06:20:47:47 0471304603 0 4939 1274 343086
2016/03/06:22:32:56 0471304603 0 4939 1274 350624
2016/03/06:22:56:47 0471304603 0 4939 1274 350656
2016/03/06:23:08:29 0471304603 0 4939 1274 350656
2016/03/07:07:37:45 0471304603 0 4939 1274 379333
2016/03/07:09:28:23 0471304603 0 4939 1274 379333
2016/03/07:10:52:33 0471304603 0 4939 1274 380827
2016/03/07:11:30:59 0471304603 0 4939 1274 381457
2016/03/07:12:35:12 0471304603 0 4939 1274 385865
2016/03/07:14:01:04 0471304603 0 4939 1274 388591
2016/03/07:15:30:17 0471304603 0 4939 1274 388591
2016/03/07:16:19:53 0471304603 0 4939 1274 393010
2016/03/07:16:57:21 0471304603 0 4889 1274 393284
2016/03/07:19:09:52 0471304603 0 4889 1274 395063
2016/03/07:22:41:42 0471304603 0 4889 1274 409476
2016/03/07:23:48:48 0471304603 0 4889 1274 409743
2016/03/08:07:43:03 0471304603 0 4889 1274 432677
2016/03/08:09:05:42 0471304603 0 4889 1274 434862
2016/03/08:11:56:05 0471304603 0 4889 1274 440853
