Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank 
2016/02/10:15:16:50 3527412824 3375 2794 3708 18591
2016/02/10:17:03:47 3527412824 3375 2794 3706 21802
2016/02/10:18:28:35 3527412824 3375 2794 3706 21804
2016/02/10:22:27:25 3527412824 3375 2794 3706 29500
2016/02/11:07:45:31 3527412824 3375 2794 3705 52129
2016/02/11:09:35:45 3527412824 3375 2794 3703 71991
2016/02/11:10:02:25 3527412824 3375 2794 3702 71991
2016/02/11:11:52:59 3527412824 3375 2794 3701 67840
2016/02/11:12:02:23 3527412824 3375 2794 3701 67840
2016/02/11:12:09:08 3527412824 3375 2794 3701 67840
2016/02/11:12:53:51 3527412824 3375 2794 3700 65829
2016/02/11:14:07:04 3527412824 3375 2794 3700 65829
2016/02/11:15:26:21 3527412824 3375 2794 3700 64339
2016/02/11:17:12:22 3527412824 3375 2794 3700 68615
2016/02/11:19:00:45 3527412824 3375 2794 3700 68702
2016/02/11:22:05:53 3527412824 3375 2794 3699 81317
2016/02/12:07:32:50 3527412824 3375 2794 3699 116257
2016/02/12:09:22:07 3527412824 3375 2794 3699 128174
2016/02/13:12:44:48 3527412824 3375 2794 3422 160988
2016/02/13:13:28:09 3527412824 3375 2794 3422 159823
2016/02/13:13:36:26 3527412824 3375 2794 3422 159823
2016/02/13:15:21:53 3527412824 3375 2794 3422 161240
2016/02/18:17:19:30 3527412824 3375 2794 3374 286309
2016/02/18:18:05:39 3527412824 3375 2794 3374 286410
2016/02/18:19:13:28 3527412824 3375 2794 3374 285584
2016/02/18:20:42:09 3527412824 3375 2794 3374 285721
2016/02/18:21:44:13 3527412824 3375 2794 3374 292056
2016/02/18:22:41:51 3527412824 3375 2794 3374 292199
2016/02/19:07:50:07 3527412824 3375 2794 3374 302960
2016/02/19:09:36:04 3527412824 3375 2794 3374 303883
2016/02/19:11:27:25 3527412824 3375 2794 3374 304891
2016/02/19:13:04:47 3527412824 3375 2794 3374 304891
2016/02/19:15:01:42 3527412824 3375 2794 3374 304166
2016/02/19:16:51:31 3527412824 3375 2794 3374 304880
2016/02/19:17:24:00 3527412824 3375 2794 3374 308145
2016/02/19:17:40:27 3527412824 3375 2794 3374 308145
2016/02/19:19:29:54 3527412824 3375 2794 3374 308144
2016/02/19:20:26:59 3527412824 3375 2794 3374 307322
2016/02/19:22:12:32 3527412824 3375 2794 3374 314089
2016/02/20:02:01:09 3527412824 3375 2794 3374 318327
2016/02/20:06:08:43 3527412824 3375 2794 3372 327751
2016/02/20:09:17:22 3527412824 3375 2794 3372 329997
2016/02/20:10:34:46 3527412824 3375 2794 3372 330327
2016/02/20:11:14:03 3527412824 3375 2794 3370 329018
2016/02/20:12:07:11 3527412824 3375 2794 3370 329018
2016/02/20:13:05:11 3527412824 3375 2794 3370 329128
2016/02/20:14:26:42 3527412824 3375 2794 3368 327268
2016/02/20:15:37:43 3527412824 3375 2794 3368 326105
2016/02/20:16:52:02 3527412824 3375 2794 3368 326133
2016/02/20:18:47:00 3527412824 3375 2794 3368 324674
2016/02/20:19:38:35 3527412824 3375 2794 3366 324674
2016/02/20:21:19:33 3527412824 3375 2794 3366 324674
2016/02/20:21:43:08 3527412824 3375 2794 3366 328920
2016/02/21:02:24:07 3527412824 3375 2794 3361 50439
2016/02/21:09:44:42 3527412824 3375 2794 3357 30336
2016/02/21:10:51:55 3527412824 3375 2794 3356 30336
2016/02/21:11:42:55 3527412824 3375 2794 3356 30336
2016/02/21:14:12:55 3527412824 3375 2794 3356 34684
2016/02/21:14:58:26 3527412824 3375 2794 3356 38211
2016/02/21:17:20:03 3527412824 3375 2794 3353 48359
2016/02/21:17:44:05 3527412824 3375 2794 3352 48359
2016/02/21:18:14:32 3527412824 3375 2794 3352 48359
2016/02/21:20:14:14 3527412824 3375 2794 3350 49565
2016/02/21:22:01:47 3527412824 3375 2794 3350 65661
2016/02/21:22:26:05 3527412824 3375 2794 3349 65661
2016/02/21:23:36:47 3527412824 3375 2794 3348 66589
2016/02/22:07:48:28 3527412824 3375 2794 3342 115585
2016/02/22:09:51:58 3527412824 3375 2794 3342 115399
2016/02/22:11:03:05 3527412824 3375 2794 3342 32496
2016/02/22:12:00:45 3527412824 3375 2794 3340 32496
2016/02/22:15:21:20 3527412824 3375 2794 3338 40322
2016/02/22:16:44:02 3527412824 3375 2794 3338 40349
2016/02/23:09:32:10 3527412824 3375 2794 3336 111162
2016/02/23:10:58:28 3527412824 3375 2794 3334 119121
2016/02/23:12:01:22 3527412824 3375 2794 3334 116922
2016/02/23:13:51:54 3527412824 3375 2794 3334 115785
2016/02/23:15:07:26 3527412824 3375 2794 3332 115398
2016/02/23:16:06:12 3527412824 3375 2794 3332 115398
2016/02/23:17:26:50 3527412824 3375 2794 3331 118736
2016/02/24:09:15:51 3527412824 3375 2794 3326 32028
2016/02/24:11:14:18 3527412824 3375 2794 3324 35905
2016/02/24:11:18:36 3527412824 3375 2794 3324 35905
2016/02/24:13:08:51 3527412824 3375 2794 3324 35905
2016/02/24:14:13:11 3527412824 3375 2794 3323 36979
2016/02/24:16:48:33 3527412824 3375 2794 3323 36980
2016/02/24:19:41:27 3527412824 3375 2794 3323 48585
2016/02/24:21:09:54 3527412824 3375 2794 3323 60103
2016/02/24:22:42:54 3527412824 3375 2794 3323 76107
2016/02/24:23:05:45 3527412824 3375 2794 3323 75665
2016/02/25:08:06:21 3527412824 3375 2822 3323 107002
2016/02/25:08:59:51 3527412824 3375 2822 3323 107530
2016/02/25:10:09:55 3527412824 3375 2795 3323 107428
2016/02/25:11:35:03 3527412824 3375 2795 3323 107505
2016/02/25:15:19:54 3527412824 3375 2795 3323 107304
2016/02/25:16:52:19 3527412824 3375 2795 3323 107303
2016/02/25:19:02:09 3527412824 3375 2794 3322 112369
2016/02/25:21:34:40 3527412824 3375 2794 3322 109838
2016/02/25:22:31:47 3527412824 3375 2794 3322 120988
2016/02/26:07:31:10 3527412824 3375 2794 3320 149622
2016/02/26:08:48:02 3527412824 3375 2794 3320 150241
2016/02/26:09:50:31 3527412824 3375 2794 3318 150241
2016/02/26:10:51:45 3527412824 3375 2794 3318 150087
2016/02/26:13:20:14 3527412824 3375 2794 3316 153502
2016/02/26:15:28:47 3527412824 3375 2794 3316 158670
2016/02/26:19:52:56 3527412824 3375 2794 3314 166680
2016/02/26:22:48:25 3527412824 3375 2794 3312 178201
2016/02/26:23:50:57 3527412824 3375 2794 3312 178201
