UsedMedian: SalesAvg:
2321.0 154098.229437
2964.5 315151.637931
3000.0 185005.959276
2700.0 299092.604545
1299.0 41216.8181818
6237.0 265498.345455
7691.0 1450583.56818
2908.0 378544.477064
4499.0 8834848.75
5608.0 229276.852535
2700.0 172882.286325
4085.0 243082.37788
971.0 553517.972093
1695.0 162871.176744
1361.0 40945.588785
1519.0 150646.813084
1269.0 31407.8528139
998.0 70654.864486
1500.0 57854.0375587
2349.0 28144.685446
5199.0 120006.156522
1737.0 115471.399061
3036.0 153997.70283
3057.0 76322.3773585
1500.0 394021.707547
194.0 510822.443396
4328.0 75085.0990566
4184.0 17389.6933962
2706.0 428163.080189
2299.0 43391.1042654
4259.0 125560.663507
2200.0 368757.606635
1606.0 139430.442857
1498.0 194694.228571
1793.0 117458.065657
1928.0 206972.371429
5000.0 378886.671429
4483.0 167382.344498
4729.0 188217.665072
4135.0 119984.081731
3794.0 223631.225962
6383.0 110582.711538
3500.0 361804.216346
3316.0 193009.283654
2095.0 165380.668269
2600.0 338742.817308
807.0 593930.980769
7300.5 366241.072115
7164.0 448601.524038
6387.0 1464680.12981
5000.0 702034.721154
2000.0 22093.1105769
2973.0 131757.009615
1906.5 786820.524038
21419.0 193254.769231
2928.0 354303.033981
2488.0 199424.985437
3000.0 376930.825243
2499.0 325016.703883
570.0 35215.9126214
1750.0 94697.8737864
833.0 166489.883495
1644.0 171128.645631
2857.0 371425.752427
3500.0 471949.834951
6385.0 969100.145631
2999.0 372483.281553
2326.0 50858.1134021
3299.0 183596.097087
4213.0 293416.802956
2999.0 428998.776699
1456.0 134061.679612
2519.0 238125.839806
2599.0 359050.932735
3316.0 165049.956311
2233.0 61156.3932039
2691.0 402654.23301
2888.0 375171.514563
4028.0 365167.781553
2044.0 182681.694175
2038.0 425447.911458
6055.0 171916.747573
3220.0 238406.097087
4978.0 813887.334951
6498.0 645193.936893
4165.0 1678217.09223
1900.0 3584940.7767
2138.0 661373.849515
1942.0 58994.7330097
2498.0 35013.3009709
2711.0 13156.6553398
3173.0 140270.61165
2129.0 169684.84466
1896.0 191746.791262
523.0 609446.752427
3447.0 19233.6682927
3000.0 16433.7756098
4940.0 246673.107317
5150.0 68050.9804878
2278.0 161505.380488
3500.0 88947.8390244
3610.0 18794.5560976
3147.0 41968.4341463
2849.0 71443.9756098
3583.0 341238.760976
7174.0 544156.663415
2534.0 1511355.98537
4720.0 250709.102439
3396.0 194937.795122
2281.0 419455.073171
3558.0 187204.663415
3866.0 128438.843902
2194.0 28970.2097561
2173.0 47057.9902439
2011.0 95359.6146341
2697.0 358060.121951
1605.0 159432.380488
3057.0 36174.6682927
1800.0 75119.2731707
4364.0 23458.2634146
3426.0 8481.83043478
3251.0 300008.84507
3463.0 3209.29268293
4913.0 243424.409756
3097.0 14512.5945946
4572.0 243276.809756
3375.0 12643.0487805
3838.0 146626.57561
1496.0 177219.790244
3066.0 41168.1414634
2999.0 190471.302439
3058.0 12426.8439024
2990.0 68233.9219512
2536.0 204085.678049
2370.0 47591.2829268
2112.0 122833.927928
2094.0 178087.160976
1702.0 14574.4600939
382.0 7065.14146341
